,Suburb,Region,Latitude,Longitude
132,Hemmant,City of brisbane,-27.4505703,153.1305205
133,Lota,City of brisbane,-27.4679039,153.1883924
134,Lytton,City of brisbane,-27.4238491,153.150806
135,Manly,City of brisbane,-27.4547329,153.1849108
136,Manly West,City of brisbane,-27.4619537,153.1692817
137,Moreton Island,City of brisbane,-27.19264975,153.39431796425487
138,Morningside,City of brisbane,-27.4684656,153.0731165
139,Murarrie,City of brisbane,-27.4609442,153.105018
140,Norman Park,City of brisbane,-27.480455,153.0641069
141,Port of Brisbane,City of brisbane,-27.3823606,153.1693616
142,Ransome,City of brisbane,-27.4856896,153.1813671
143,Seven Hills,City of brisbane,-27.4816478,153.0755733
144,Tingalpa,City of brisbane,-27.4759575,153.1283016
145,Wakerley,City of brisbane,-27.4819726,153.1617698
146,Wynnum,City of brisbane,-27.4451042,153.1756078
147,Wynnum West,City of brisbane,-27.4539766,153.1562022
148,Anstead,City of brisbane,-27.5404815,152.8638552
149,Ashgrove,City of brisbane,-27.445076,152.993363
150,Auchenflower,City of brisbane,-27.4743727,152.995695
151,Banks Creek,City of brisbane,-27.4515705,153.1499683
152,Bellbowrie,City of brisbane,-27.5619254,152.8855689
153,Brookfield,City of brisbane,-27.4947589,152.9114675
154,Chapel Hill,City of brisbane,-27.5051363,152.952349
155,Chelmer,City of brisbane,-27.5122288,152.9744075
156,Chuwar,City of brisbane,-27.5458181,152.76615604092365
157,Corinda,City of brisbane,-27.5430769,152.9813705
158,England Creek,City of brisbane,-27.3652782,152.7177734
159,Enoggera,City of brisbane,-27.4222573,152.9917628
160,Enoggera Reservoir,City of brisbane,-27.433332,152.870834
161,Ferny Grove,City of brisbane,-27.4034029,152.933129
162,Fig Tree Pocket,City of brisbane,-27.5281261,152.9627018
163,Graceville,City of brisbane,-27.520899,152.977918
164,Indooroopilly,City of brisbane,-27.5014579,152.9745281
165,Jamboree Heights,City of brisbane,-27.5574149,152.9345227
166,Jindalee,City of brisbane,-27.5336271,152.9385099
167,Karana Downs,City of brisbane,-27.5500,152.8222
168,Kenmore,City of brisbane,-27.5160106,152.9413421
169,Kenmore Hills,City of brisbane,-27.495594,152.9272817
170,Kholo,City of brisbane,-27.56329255,152.74866087827084
171,Lake Manchester,City of brisbane,18.0170256,-77.5162162
172,Middle Park,City of brisbane,-27.5534017,152.9211696
173,Milton,City of brisbane,-27.4700194,153.0037657
174,Moggill,City of brisbane,-27.5702931,152.8765061
175,Mount Coot-tha,City of brisbane,-27.4748982,152.9533042
176,Mount Crosby,City of brisbane,-27.4325961,153.0468723
177,Mount Ommaney,City of brisbane,-27.5444804,152.9286773
178,Oxley,City of brisbane,-27.5564622,152.9743667
179,Pinjarra Hills,City of brisbane,-27.5394651,152.899971
180,Pullenvale,City of brisbane,-27.5257099,152.8851317
181,Riverhills,City of brisbane,-27.5595729,152.9088501
182,Sherwood,City of brisbane,-27.530861,152.9826097
183,Sinnamon Park,City of brisbane,-27.5446662,152.947254
184,St Lucia,City of brisbane,-27.4987362,153.0081642
185,Taringa,City of brisbane,-27.4923992,152.9786001
186,The Gap,City of brisbane,-27.4455193,152.9526612
187,Toowong,City of brisbane,-27.4857407,152.9915943
188,Upper Brookfield,City of brisbane,-27.4778049,152.868813
189,Upper Kedron,City of brisbane,-27.41768,152.9214443
190,Westlake,City of brisbane,-27.5458126,152.9172395
191,Bulwer,City of brisbane,-27.4044273,153.1393865
192,Cowan Cowan,City of brisbane,-27.1253979,153.3663568
193,Kooringal,City of brisbane,-27.3499548,153.4203967
194,Moreton Bay,City of brisbane,-27.2397819,153.2539994
195,Moreton Island,City of brisbane,-27.19264975,153.39431796425487
