,Suburb,Region,Latitude,Longitude
251,Chinatown,New York City US,40.71561842231432,-73.99427936255978
252,Washington Heights,New York City US,40.851902525553044,-73.93690027985234
253,Inwood,New York City US,40.86768396449915,-73.92121042203897
254,Hamilton Heights,New York City US,40.823604284811935,-73.94968791883366
255,Manhattanville,New York City US,40.81693442949779,-73.9573853935188
256,Central Harlem,New York City US,40.81597606742414,-73.94321112603905
257,East Harlem,New York City US,40.79224946663033,-73.94418223148523
258,Upper East Side,New York City US,40.77563857330181,-73.96050763135
259,Yorkville,New York City US,40.77592984988488,-73.94711784471826
260,Lenox Hill,New York City US,40.76811265828733,-73.9588596881376
261,Roosevelt Island,New York City US,40.76215960576283,-73.94916769227953
262,Upper West Side,New York City US,40.787657998534854,-73.97705923630603
263,Lincoln Square,New York City US,40.773528889421655,-73.98533777001262
264,Clinton,New York City US,40.75910089146212,-73.99611936309479
265,Midtown,New York City US,40.754691102706225,-73.98166882730305
266,Murray Hill,New York City US,40.748303077252174,-73.97833207924127
267,Chelsea,New York City US,40.744034706747975,-74.00311633472813
268,Greenwich Village,New York City US,40.72693288536128,-73.99991402945902
269,East Village,New York City US,40.727846777270244,-73.98222616506415
270,Lower East Side,New York City US,40.71780674892765,-73.98089031999291
271,Tribeca,New York City US,40.721521967443216,-74.01068328559087
272,Little Italy,New York City US,40.71932379395907,-73.99730467208073
273,Soho,New York City US,40.72218384131794,-74.0006566695976
274,West Village,New York City US,40.73443393572435,-74.00617998126813
275,Manhattan Valley,New York City US,40.797307041702865,-73.96428617740655
276,Morningside Heights,New York City US,40.807999738165826,-73.96389627905332
277,Gramercy,New York City US,40.737209832715,-73.98137594833541
278,Battery Park City,New York City US,40.71193198394565,-74.01686930508617
279,Financial District,New York City US,40.707107107270474,-74.01066544521271
280,Astoria,New York City US,40.76850859335492,-73.91565374304234
281,Woodside,New York City US,40.746349088602216,-73.90184166838284
282,Jackson Heights,New York City US,40.75198138007367,-73.88282109164366
283,Elmhurst,New York City US,40.74404850512202,-73.88165622288388
284,Howard Beach,New York City US,40.65422527738487,-73.83813764600279
285,Corona,New York City US,40.74238175015667,-73.85682497345258
286,Forest Hills,New York City US,40.72526378216503,-73.84447500788983
287,Kew Gardens,New York City US,40.705179035414794,-73.82981905825703
288,Richmond Hill,New York City US,40.69794731471763,-73.83183321446889
289,Flushing,New York City US,40.76445419697846,-73.83177300329581
290,Long Island City,New York City US,40.75021734610528,-73.93920223915505
291,Sunnyside,New York City US,40.74017628351925,-73.92691617561577
292,East Elmhurst,New York City US,40.7640732388309,-73.86704147658772
293,Maspeth,New York City US,40.725427374093606,-73.8962171362686
294,Ridgewood,New York City US,40.708323156138576,-73.90143517559589
295,Glendale,New York City US,40.70276242967838,-73.87074167435605
296,Rego Park,New York City US,40.728974094807356,-73.85782686905371
297,Woodhaven,New York City US,40.68988687915789,-73.8581104655432
298,Ozone Park,New York City US,40.680708468265415,-73.84320266173447
299,South Ozone Park,New York City US,40.66854957767195,-73.80986478649041
300,College Point,New York City US,40.78490274926021,-73.84304528896125
301,Whitestone,New York City US,40.781290766026935,-73.81420216610863
302,Bayside,New York City US,40.76604063281064,-73.77427363068671
303,Auburndale,New York City US,40.761729549032616,-73.79176243728061
304,Little Neck,New York City US,40.7708261928267,-73.73889775580741
305,Douglaston,New York City US,40.76684609790763,-73.74249820727329
306,Glen Oaks,New York City US,40.74944079974332,-73.71548118999145
307,Bellerose,New York City US,40.72857318176675,-73.72012814826904
308,Kew Gardens Hills,New York City US,40.722578244228046,-73.82087764933566
309,Fresh Meadows,New York City US,40.7343944653313,-73.78271337003264
310,Briarwood,New York City US,40.71093547252271,-73.81174822458634
311,Jamaica Center,New York City US,40.70465736068717,-73.79690165888289
312,Oakland Gardens,New York City US,40.74561857141855,-73.75494976234332
313,Queens Village,New York City US,40.718893092167356,-73.73871484578423
314,Hollis,New York City US,40.71124344191904,-73.75925009335594
315,South Jamaica,New York City US,40.69691125378989,-73.7904261313554
316,St. Albans,New York City US,40.694445385223595,-73.75867603727717
317,Rochdale,New York City US,40.67521139591733,-73.77258787620906
318,Springfield Gardens,New York City US,40.66623049036858,-73.76042092682287
319,Cambria Heights,New York City US,40.69277463916085,-73.73526873708028
320,Rosedale,New York City US,40.65981643342808,-73.73526079428278
321,Far Rockaway,New York City US,40.603134432500894,-73.75497968043872
322,Broad Channel,New York City US,40.60302658351238,-73.8200548911032
323,Breezy Point,New York City US,40.55740128845452,-73.92551196994168
324,Steinway,New York City US,40.7759230156429,-73.90228960391673
325,Beechhurst,New York City US,40.79278140360048,-73.80436451720988
326,Bay Terrace,New York City US,40.78284280624555,-73.7768022262158
327,Edgemere,New York City US,40.595641807368494,-73.77613282391705
328,Arverne,New York City US,40.58914394372971,-73.79199233136944
329,Rockaway Beach,New York City US,40.58280169684559,-73.82236121088752
330,Neponsit,New York City US,40.572036730217015,-73.85754672410826
331,Murray Hill,New York City US,40.764126122614066,-73.81276269135866
332,Floral Park,New York City US,40.74137842194544,-73.70884705889245
333,Holliswood,New York City US,40.7209572076444,-73.7671416671473
334,Jamaica Estates,New York City US,40.71680483014613,-73.7872269693666
335,Queensboro Hill,New York City US,40.7445723092867,-73.82580915110559
336,Hillcrest,New York City US,40.723824901829204,-73.79760300912672
337,Ravenswood,New York City US,40.761704526054146,-73.93157506072878
338,Lindenwood,New York City US,40.66391841925139,-73.84963782402441
339,Laurelton,New York City US,40.66788389660247,-73.74025607989822
340,Lefrak City,New York City US,40.7360745708308,-73.86252471413741
341,Belle Harbor,New York City US,40.576155565431094,-73.8540175039252
342,Rockaway Park,New York City US,40.58034295646131,-73.84153370226186
343,Somerville,New York City US,40.597710615657675,-73.79664750844047
344,Brookville,New York City US,40.660003227336134,-73.75175310731153
345,Bellaire,New York City US,40.73301404027834,-73.73889198912481
346,North Corona,New York City US,40.7540709990489,-73.85751790676447
347,Forest Hills Gardens,New York City US,40.714611081511705,-73.8410221123401
348,St. George,New York City US,40.6449815710044,-74.07935312512797
349,New Brighton,New York City US,40.64061455913511,-74.08701650516626
350,Stapleton,New York City US,40.626927625381754,-74.07790192660066
351,Rosebank,New York City US,40.61530494652761,-74.06980526716141
352,West Brighton,New York City US,40.631878926546065,-74.1071817826561
353,Grymes Hill,New York City US,40.624184791313006,-74.08724819983729
354,Todt Hill,New York City US,40.59706851814673,-74.1113288180088
355,South Beach,New York City US,40.58024741350957,-74.0795529253982
356,Port Richmond,New York City US,40.63366930554365,-74.12943426797007
357,Mariner's Harbor,New York City US,40.63254639048112,-74.15008537046981
358,Port Ivory,New York City US,40.63968297845542,-74.17464532993542
