,Cluster Labels,Address,Suburb,Region,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Suburb Latitude,Suburb Longitude
1014,0,"Valley Village, Los Angeles US",Valley Village,Los Angeles US,Fried Chicken Joint,Discount Store,Chinese Restaurant,Mobile Phone Shop,Supermarket,Eastern European Restaurant,Grocery Store,Pizza Place,Hot Dog Joint,Theater,34.1637147,-118.3965758
1015,0,"Van Nest, New York City US",Van Nest,New York City US,Pizza Place,Deli / Bodega,Middle Eastern Restaurant,Bus Stop,Donut Shop,Chinese Restaurant,Hookah Bar,Coffee Shop,Playground,Grocery Store,40.84360847,-73.86629918
1016,0,"Van Nuys, Los Angeles US",Van Nuys,Los Angeles US,Mexican Restaurant,Chinese Restaurant,South American Restaurant,Convenience Store,Sandwich Place,Grocery Store,Thrift / Vintage Store,Mobile Phone Shop,Waste Facility,Fast Food Restaurant,34.1866193,-118.4486669
1017,3,"Vasant Kunj, New Delhi India",Vasant Kunj,New Delhi India,Vegetarian / Vegan Restaurant,Pizza Place,Café,Bakery,Bank,Exhibit,Eye Doctor,Fabric Shop,Factory,Event Space,28.5292495,77.1541335
1018,0,"Vasant Vihar, New Delhi India",Vasant Vihar,New Delhi India,Coffee Shop,Chinese Restaurant,Fast Food Restaurant,Gourmet Shop,Market,Café,Indian Restaurant,Pizza Place,Tea Room,Food & Drink Shop,28.56069055,77.16079073
1019,0,"Vasundhara Enclave, New Delhi India",Vasundhara Enclave,New Delhi India,Market,Stadium,Pizza Place,Convenience Store,Falafel Restaurant,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,28.60172565,77.3211225
1020,0,"Venice, Los Angeles US",Venice,Los Angeles US,Boutique,Clothing Store,Cosmetics Shop,Coffee Shop,Shoe Store,Poke Place,Gift Shop,Pizza Place,Donut Shop,Vegetarian / Vegan Restaurant,33.995044,-118.4668875
1021,0,"Vermont Knolls, Los Angeles US",Vermont Knolls,Los Angeles US,Grocery Store,Burger Joint,ATM,Sandwich Place,Fast Food Restaurant,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,33.9668188,-118.29167
1022,0,"Vermont Square, Los Angeles US",Vermont Square,Los Angeles US,Liquor Store,Music Venue,Mexican Restaurant,Burger Joint,Park,Shop & Service,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,34.0019449,-118.3002125
1023,0,"Vermont Vista, Los Angeles US",Vermont Vista,Los Angeles US,Burger Joint,Zoo Exhibit,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farm,33.9419475,-118.2858138
1024,0,"Vermont-Slauson, Los Angeles US",Vermont-Slauson,Los Angeles US,Chinese Restaurant,Burger Joint,Mobile Phone Shop,Check Cashing Service,Sandwich Place,Zoo Exhibit,Farm,Film Studio,Filipino Restaurant,Field,33.9836914,-118.2915417
1025,0,"Victoria Park, Los Angeles US",Victoria Park,Los Angeles US,Intersection,Fried Chicken Joint,Mexican Restaurant,Furniture / Home Store,Convenience Store,Park,Vegetarian / Vegan Restaurant,Donut Shop,Grocery Store,Liquor Store,34.0466887,-118.3307729
1026,2,"Vikaspuri, New Delhi India",Vikaspuri,New Delhi India,Indian Restaurant,Multiplex,Pizza Place,Flea Market,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,28.63841905,77.07083615
1027,0,"Village Green, Los Angeles US",Village Green,Los Angeles US,Chinese Restaurant,American Restaurant,Cosmetics Shop,Café,Sandwich Place,Diner,Fish Market,Pizza Place,Intersection,Clothing Store,34.0198711,-118.3606643
1028,0,"Vinegar Hill, New York City US",Vinegar Hill,New York City US,Food Truck,Coffee Shop,Café,Bike Rental / Bike Share,Art Gallery,Antique Shop,Performing Arts Venue,Bar,Entertainment Service,Bakery,40.7033215,-73.98111604
1029,0,"Virginia, Brisbane",Virginia,Brisbane,Construction & Landscaping,Sandwich Place,Train Station,Kebab Restaurant,Pizza Place,Convenience Store,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,-27.3808493,153.0645392
1030,3,"Wai o Taiki Bay, Auckland City New Zealand",Wai o Taiki Bay,Auckland City New Zealand,German Restaurant,Burger Joint,Baseball Field,Gym / Fitness Center,Gym Pool,Park,Café,Field,Financial or Legal Service,Film Studio,-36.8712597,174.8742742
1031,0,"Waikowhai, Auckland City New Zealand",Waikowhai,Auckland City New Zealand,Thai Restaurant,Park,Pizza Place,Sports Club,Malay Restaurant,Zoo Exhibit,Farmers Market,Film Studio,Filipino Restaurant,Field,-36.9281911,174.7376122
