,Address,Suburb,Region,Latitude,Longitude
121,"Belmont, City of brisbane",Belmont,City of brisbane,-27.48406505,153.12611811481716
122,"Bulimba, City of brisbane",Bulimba,City of brisbane,-27.4498447,153.0600915
123,"Camp Hill, City of brisbane",Camp Hill,City of brisbane,-27.4942385,153.0771926
124,"Cannon Hill, City of brisbane",Cannon Hill,City of brisbane,-27.465377,153.0882595
125,"Carina, City of brisbane",Carina,City of brisbane,-27.494252600000003,153.09002780000003
126,"Carina Heights, City of brisbane",Carina Heights,City of brisbane,-27.501450800000004,153.0966984
127,"Carindale, City of brisbane",Carindale,City of brisbane,-27.503276399999997,153.1040678
128,"Chandler, City of brisbane",Chandler,City of brisbane,-27.509561699999995,153.15791240000001
129,"Coorparoo, City of brisbane",Coorparoo,City of brisbane,-27.4962028,153.05959730000004
130,"Gumdale, City of brisbane",Gumdale,City of brisbane,-27.495198600000002,153.1583601
131,"Hawthorne, City of brisbane",Hawthorne,City of brisbane,-27.4623063,153.0598051
132,"Hemmant, City of brisbane",Hemmant,City of brisbane,-27.4505703,153.13052050000002
133,"Lota, City of brisbane",Lota,City of brisbane,-27.4679039,153.1883924
134,"Lytton, City of brisbane",Lytton,City of brisbane,-27.423849100000005,153.15080600000002
135,"Manly, City of brisbane",Manly,City of brisbane,-27.454732899999996,153.1849108
136,"Manly West, City of brisbane",Manly West,City of brisbane,-27.461953700000002,153.16928169999997
137,"Moreton Island, City of brisbane",Moreton Island,City of brisbane,-27.19264975,153.39431796425487
138,"Morningside, City of brisbane",Morningside,City of brisbane,-27.468465600000002,153.0731165
139,"Murarrie, City of brisbane",Murarrie,City of brisbane,-27.460944199999997,153.105018
140,"Norman Park, City of brisbane",Norman Park,City of brisbane,-27.480455,153.0641069
141,"Port of Brisbane, City of brisbane",Port of Brisbane,City of brisbane,-27.382360600000002,153.1693616
142,"Ransome, City of brisbane",Ransome,City of brisbane,-27.4856896,153.1813671
143,"Seven Hills, City of brisbane",Seven Hills,City of brisbane,-27.4816478,153.0755733
144,"Tingalpa, City of brisbane",Tingalpa,City of brisbane,-27.4759575,153.1283016
145,"Wakerley, City of brisbane",Wakerley,City of brisbane,-27.481972600000002,153.1617698
